,preco_1,preco_2,endereco_1,endereco_2,descricao,attr1,attr2,attr3,attr4,attr5
152,R$ 1.050,R$ 1.240/mês,Barão Geraldo,"Centro de Barão Geraldo! 
A melhor opção para quem usa os fretados CPQD / CNPEM / outros - atras do Burger King 

Kitnetão do tipo estúdio, sem divisória da cozinha para dormitório. 
Mobiliada com frigobar, fogão 2 bocas (frigobar e fogão em processo de troca por geladeira 240 l e fogao 4 bocas com forno - ja adquiridos, aguardando entrega), armários de cozinha, guarda roupas. Opção de cama de solteiro sem colchão. 
Inclui na locação: água, internet, IPTU, manutenção de áreas externas. 
Energia elétrica: individual, por conta locatários;
Vaga de garagem locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"30,08m²",not found
153,R$ 1.050,R$ 1.240/mês,Barão Geraldo,"Centro de Barão Geraldo! 
A melhor opção para quem usa os fretados CPQD / CNPEM / outros - atras do Burger King 

Kitnetão do tipo estúdio, sem divisória da cozinha para dormitório. 
Mobiliada com frigobar, fogão 2 bocas (frigobar e fogão em processo de troca por geladeira 240 l e fogao 4 bocas com forno - ja adquiridos, aguardando entrega), armários de cozinha, guarda roupas. Opção de cama de solteiro sem colchão. 
Inclui na locação: água, internet, IPTU, manutenção de áreas externas. 
Energia elétrica: individual, por conta locatários;
Vaga de garagem locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,"29,69m²",not found,not found
154,R$ 1.050,R$ 1.240/mês,Barão Geraldo,"Centro de Barão Geraldo! 
A melhor opção para quem usa os fretados CPQD / CNPEM / outros - atras do Burger King 

Kitnetão do tipo estúdio, sem divisória da cozinha para dormitório. 
Mobiliada com frigobar, fogão 2 bocas (frigobar e fogão em processo de troca por geladeira 240 l e fogao 4 bocas com forno - ja adquiridos, aguardando entrega), armários de cozinha, guarda roupas. Opção de cama de solteiro sem colchão. 
Inclui na locação: água, internet, IPTU, manutenção de áreas externas. 
Energia elétrica: individual, por conta locatários;
Vaga de garagem locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"29,71m²",not found
155,R$ 1.050,R$ 1.240/mês,Barão Geraldo,"Centro de Barão Geraldo! 
A melhor opção para quem usa os fretados CPQD / CNPEM / outros - atras do Burger King 

Kitnetão do tipo estúdio, sem divisória da cozinha para dormitório. 
Mobiliada com frigobar, fogão 2 bocas, armários de cozinha, guarda roupas. Opção de cama de solteiro sem colchão. 
Inclui na locação: água, internet, IPTU, manutenção de áreas externas. 
Energia elétrica: individual, por conta locatários;
Vaga de garagem locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,29m²,not found,not found
156,R$ 1.050,R$ 1.240/mês,Barão Geraldo,"Centro de Barão Geraldo! 
A melhor opção para quem usa os fretados CPQD / CNPEM / outros - atras do Burger King 

Kitnetão do tipo estúdio, sem divisória da cozinha para dormitório. 
Mobiliada com frigobar, fogão 2 bocas, armários de cozinha, guarda roupas. Opção de cama de solteiro sem colchão. 
Inclui na locação: água, internet, IPTU, manutenção de áreas externas. 
Energia elétrica: individual, por conta locatários;
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,28m²,not found,not found
157,R$ 1.100,R$ 1.290/mês,Cidade Universitária,"Cidade Universitária 01 - Muito perto da Reitoria, da Parte da Medicina; 

Kitnet do tipo estúdio, térrea, frontal, toda em piso frio, com 22,40m². 
MObiliada com armário embutido, fogão 2 bocas com forno (com vasilhame de gás a disposição - recarga por conta locatário). Armários de cozinha.
Banheiro com box de vidro e gabinete. 
Prédio conta com cerca elétrica, portão eletrônio, lavanderia de uso coletivo com 1 máquina de lavar roupas. 
Rateio (condomínio): valor por mês, por pessoa, inclui: água, Internet, IPTU, manutenção de áreas comuns. 
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,"22,40m²"
158,R$ 1.100,R$ 1.290/mês,Cidade Universitária,"Cidade Universitária 01 - 100 metros da Reitoria / Perto Medicina

Kitnet térrea, ampla, sem divisória da cozinha para dormitório, copm vaga de garagem.

Mobiliada com frigobar, fogão 2 bocas, armário de cozinha, armário embutido;
Possibilidade de cama solteiro sem colchão;
Banheiro com box de vidro.
Rateio: valor por mês, e inclui: internet, IPTU, água, manutenção de áreas externas.
Energia elétrica, gás (botijão) individuais por conta do locatário;",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"22,76m²",not found
159,R$ 1.100,R$ 1.290/mês,Cidade Universitária,"Cidade Universitária 01 - Muito perto da Reitoria, da Parte da Medicina;

Kitnet do tipo estúdio, 1º andar (1 lance de escada), frontal, toda em piso frio, com 17,68 m².
Mobiliada com armário embutido, fogão 2 bocas com forno (com vasilhame de gás a disposição - recarga por conta locatário). Armários de cozinha.
Banheiro com box de vidro e gabinete.
Prédio conta com cerca elétrica, portão eletrônio, lavanderia de uso coletivo com 1 máquina de lavar roupas.
Rateio (condomínio): valor por mês, por pessoa, inclui: água, Internet, IPTU, manutenção de áreas comuns.
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,"17,68m²"
160,R$ 4.500,"R$ 5.044,64/mês",Cidade Universitária,"Cidade Universitária 01 - bem em frente a Unicamp
Residencial ou comercial.
300 m² de terreno - 280 m² de construção.
Residência sobradada com três quartos, sendo uma suíte, sala, lavabo, cozinha, dispensa, área de serviço garagem para vários veículos
IPTU: valor por mes. 
energia elétrica, água e gás: individuais.",Casa em Campinas,3quartos,1suíte,3banheiros,8vagas,185m²
161,R$ 650,R$ 885/mês,Jardim Santa Genebra II (Barão Geraldo),"Pensionato FEMININO
suítes individuais, mobiliadas, na entrada de Barão Geraldo.
Sala de estar e cozinha de uso comum, totalmente mobiliadas.
Lavanderia  com  máquina, varanda e terraço. 
Vaga de garagem de acordo com disponibilidade;
Valor por mes, variável inclui: energia, IPTU, internet, água.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,12m²,not found
162,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - Avenida Prof. Atílio Martini - 

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Rateio: valor por mes, por apartamento, e inclui:  água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com máquina.
Vagas de garagem locadas a parte, conforme disponibilidade. 
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,25m²
163,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Colégio Rio Branco

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Inclui no valor do aluguel: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.
Energia elétrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,"22,50m²",not found,not found
164,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Colégio Rio Branco

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Inclui no valor do Condominio: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.

Energia eletrica: individual.",Kitnet em Campinas,1quarto,1banheiro ,27m²,not found,not found
165,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Colégio Rio Branco

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Inclui no valor do condomínio: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.
Energia elétrica: individual.
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,25m²,not found,not found
166,R$ 1.300,R$ 1.620/mês,Cidade Universitária,"Cidade Universitária 01 - Próximo Colégio Rio Branco

Kitnet mobiliada com divisória da cozinha para dormitório.
Equipada com geladeira, fogão, gabinetes de cozinha, guarda roupas, cama solteiro sem colchão.
Inclui no valor do aluguel: água, IPTU, gás, manutenção de áreas comuns, internet, lavanderia de uso comunitário com maquina.
Energia eletrica: individual.
Vaga de garagem: locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,30m²,not found,not found
167,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - Av. Prof. Atílio Martini - em frente Supermercado Dia 

Opção de kitnet mobiliada com 25 m², com divisória da cozinha para dormitório.
Mobília: geladeira, fogão 4 bocas com forno, micro-ondas, mesa com cadeiras, guarda roupas, ventilador, ar condicionado.
Dormitório amplo, com sacada.
Banheiro com box de vidro e gabinete.
Vaga de garagem locada a parte, conforme disponibilidade
Condominio / Rateio: valor por mês inclui: água, Internet, IPTU, gás, manutenção de áreas comuns.
Energia elétrica individual",Kitnet em Campinas,1quarto,1suíte,1banheiro ,24m²,not found
168,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - Av. Prof. Atílio Martini - em frente Supermercado Dia 

Opção de kitnet mobiliada com 25 m², com divisória da cozinha para dormitório.
Mobília: geladeira, fogão 4 bocas com forno, micro-ondas, mesa com cadeiras, guarda roupas, ventilador, ar condicionado.
Dormitório amplo. 
Banheiro com box de vidro e gabinete.
Com vaga de garagem!!
Rateio valor por mes inclui, por pessoa, e inclui: água, Internet, IPTU, gás, manutenção de áreas comuns.
Energia elétrica individual.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"25,73m²",not found
169,R$ 1.300,R$ 1.620/mês,Barão Geraldo,"Cidade Universitária 01 - Av. Prof. Atílio Martini - em frente Supermercado Dia 

Opção de kitnet mobiliada com 22,80 m², com divisória da cozinha para dormitório.
Mobília: geladeira, fogão 4 bocas com forno, micro-ondas, mesa com cadeiras, guarda roupas, ventilador, ar condicionado.
Dormitório amplo, com sacada.
Banheiro com box de vidro e gabinete.
Rateio valor por mes inclui: água, Internet, IPTU, gás, manutenção de áreas comuns.
Energia elétrica individual
Vaga de garagem locada a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1banheiro ,"22,80m²",not found,not found
170,R$ 850,R$ 950/mês,Barão Geraldo,"Vila Santa Izabel - bem perto da Moradia dos Estudantes

Predio totalmente reformado, com acabamento atualizado.
Unidades mobiliadas com geladeira, fogão elétrico 02 bocas (sem forno), microondas, armário de cozinha, guarda roupas embutido, ar condicionado.
Banheiro com box de vidro. 
Rateio: valor por mês por pessoa - inclui: internet, água, IPTU, gás, manutenções de áreas externas.
Vaga de garagem: locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,"20,59m²",not found,not found
171,R$ 850,R$ 995/mês,Barão Geraldo,"Vila Santa Izabel - bem perto da Moradia dos Estudantes

Predio totalmente reformado, com acabamento atualizado.
Unidades mobiliadas com geladeira, fogão elétrico 02 bocas (sem forno), microondas, armário de cozinha, guarda roupas embutido, ar condicionado.
Banheiro com box de vidro. 
Rateio: valor por mês por pessoa - inclui: internet, água, IPTU, gás, manutenções de áreas externas.
Vaga de garagem: locada a parte, conforme disponibilidade",Kitnet em Campinas,1quarto,1banheiro ,21m²,not found,not found
172,R$ 1.600,R$ 1.600/mês,Cidade Universitária,"Cidade Universitária 01 

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

1 dormitório com ar-condicionado, com armário, bancada de estudos, cama solteiro sem colchão;
Banheiro com box de vidro e espelho;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

Inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível;",Kitnet em Campinas,1quarto,1banheiro ,17m²,not found,not found
173,R$ 2.450,R$ 2.450/mês,Cidade Universitária,"Cidade Universitária 01 

Prédio novo com total de 15 unidades mobiliadas, com ar-condicionado, excelente padrão de acabamento e localização.
Todas unidades com divisória;

2 suítes com ar-condicionado;
Banheiro com box de vidro e espelho;
Dormitórios com armários, bancadas de estudos, cama solteiro sem colchão;
Cozinha com divisória para o dormitório, com armários, bancada de refeições, geladeira, fogão, depurador de ar;
Lavanderia de uso comunitário com maquina.

Aluguel inclui: internet, gás, IPTU, vigilância patrimonial, água, jardinagem e manutenção de áreas comuns.
Energia elétrica: individual.
Vaga de garagem: Locado a parte, quando disponível;",Kitnet em Campinas,2quartos,2suítes,2banheiros,"41,80m²",not found
174,R$ 950,R$ 1.195/mês,Vila Santa Isabel,"Vila Santa Izabel - próximo Moradia dos Estudantes;

Kitnet com divisória entre cozinha e dormitório;
Cozinha com geladeira, fogão 4 bocas, gabinete pia, mesa;
Dormitório com armário embutido, opção de cama de solteiro (sem colchão);
Banheiro com gabinete, espelho, box de vidro.
A 5 minutos da Moradia dos Estudantes da Unicamp;

Rateio: valor por mês, por pessoa, e inclui: internet, água, gás, IPTU, energia elétrica. 
Com vaga de garagem.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,1vaga,28m²
175,R$ 1.600,R$ 1.600/mês,Jardim Santa Genebra II (Barão Geraldo),"Santa Genebra 02 - Centro de Barão Geraldo
Kitnet térrea, com divisória da cozinha para o dormitório, com pequeno quintal individual.
Mobiliada com geladeira, fogão, exaustor, armários de cozinha; cama solteiro (sem colchão), mesa estudos, armário, ar-condicionado.
Armário e box de vidro no banheiro.

Valor inclui: internet, água, IPTU, gás, manutenções de áreas comuns, vigilância patrimonial;
Energia elétrica: individual para cada unidade.
Vaga de garagem: cobrado a parte, conforme disponibilidade.",Kitnet em Campinas,1quarto,1suíte,1banheiro ,"21,50m²",not found
176,R$ 3.500,"R$ 3.709,81/mês",Cidade Universitária,"Cidade Universitária 01 - 400 metros Unicamp (ciclo básico 01);

4 suítes com armários embutidos; banheiro com box vidro;
Sala de estar com varanda;
Cozinha com armários e despensa
Área de serviço individual, coberta;
Vaga para 4 autos (ou mais) com portao eletrônico, cerca elétrica;
Interfone
IPTU: 50% do total - valor por mês;
Energia elétrica: individual",Casa em Campinas,4quartos,4suítes,4banheiros,4vagas,98m²
177,R$ 3.500,R$ 3.825/mês,Cidade Universitária,"Cidade Universitaria 01

Imóvel com 4 suítes com armários embutidos, banheiros com box de vidro, sala de estar, cozinha, 1 vaga de garagem, perto da Unicamp (e da Academia Cinética). 
IPTU: valor por mes. 
Energia Elétrica: individual.",Casa em Campinas,4quartos,4suítes,4banheiros,1vaga,100m²
178,R$ 750,"R$ 785,01/mês",Jardim Santa Genebra II (Barão Geraldo),"Sala comercial na entrada de Barão Geraldo (próximo ao Dalben) com ar condicionado.

Além da sala (uso privativo) é permitido ao locatário o uso de áreas comuns:
	3 banheiros sendo um parcialmente adaptado para deficientes
	1 cozinha comunitária com uso franqueado e responsável de: armário de pia e cozinha, frigobar, micro-ondas, mesa com banquetas.
	Ar condicionado com uso em horário pré determinado.
	Vaga de estacionamento.
	Alarme.
	Seguro com cobertura exclusiva contra incêndio do imóvel e Extintores de incêndio.
	Localização defronte base da Policia Militar.
	Limpeza das áreas comuns do imóvel.
	Lixeiras de material reciclável e matéria orgânica.

É incluso no valor do aluguel: Água, internet, energia e IPTU",Sala em Campinas,1banheiro ,"7,30m²",not found,not found,not found
